x,y,group
-189.30742766295305,-189.30742766295305,baseline
-188.3415867003175,-188.3415867003175,baseline
-187.37574573768194,-187.37574573768194,baseline
-186.4099047750464,-186.4099047750464,baseline
-185.44406381241086,-185.44406381241086,baseline
-184.4782228497753,-184.4782228497753,baseline
-183.51238188713975,-183.51238188713975,baseline
-182.5465409245042,-182.5465409245042,baseline
-181.58069996186867,-181.58069996186867,baseline
-180.61485899923312,-180.61485899923312,baseline
-179.64901803659757,-179.64901803659757,baseline
-178.683177073962,-178.683177073962,baseline
-177.71733611132646,-177.71733611132646,baseline
-176.75149514869094,-176.75149514869094,baseline
-175.78565418605538,-175.78565418605538,baseline
-174.81981322341983,-174.81981322341983,baseline
-173.85397226078427,-173.85397226078427,baseline
-172.88813129814872,-172.88813129814872,baseline
-171.9222903355132,-171.9222903355132,baseline
-170.95644937287764,-170.95644937287764,baseline
-169.9906084102421,-169.9906084102421,baseline
-169.02476744760654,-169.02476744760654,baseline
-168.05892648497098,-168.05892648497098,baseline
-167.09308552233543,-167.09308552233543,baseline
-166.1272445596999,-166.1272445596999,baseline
-165.16140359706435,-165.16140359706435,baseline
-164.1955626344288,-164.1955626344288,baseline
-163.22972167179324,-163.22972167179324,baseline
-162.2638807091577,-162.2638807091577,baseline
-161.29803974652214,-161.29803974652214,baseline
-160.3321987838866,-160.3321987838866,baseline
-159.36635782125106,-159.36635782125106,baseline
-158.4005168586155,-158.4005168586155,baseline
-157.43467589597995,-157.43467589597995,baseline
-156.4688349333444,-156.4688349333444,baseline
-155.50299397070887,-155.50299397070887,baseline
-154.53715300807332,-154.53715300807332,baseline
-153.57131204543776,-153.57131204543776,baseline
-152.6054710828022,-152.6054710828022,baseline
-151.63963012016666,-151.63963012016666,baseline
-150.67378915753113,-150.67378915753113,baseline
-149.70794819489558,-149.70794819489558,baseline
-148.74210723226003,-148.74210723226003,baseline
-147.77626626962447,-147.77626626962447,baseline
-146.81042530698892,-146.81042530698892,baseline
-145.8445843443534,-145.8445843443534,baseline
-144.87874338171784,-144.87874338171784,baseline
-143.9129024190823,-143.9129024190823,baseline
-142.94706145644673,-142.94706145644673,baseline
-141.98122049381118,-141.98122049381118,baseline
-141.01537953117565,-141.01537953117565,baseline
-140.0495385685401,-140.0495385685401,baseline
-139.08369760590455,-139.08369760590455,baseline
-138.117856643269,-138.117856643269,baseline
-137.15201568063344,-137.15201568063344,baseline
-136.18617471799791,-136.18617471799791,baseline
